"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar empresa","Agregar empresa pagadora","ERROR","2023-02-11T10:13:31.402489-05:00[America/Bogota]","0.0","14.01"
"Agregar proveedor","Agregar proveedor","SUCCESS","2023-03-03T15:45:31.8670608-05:00[America/Bogota]","0.0","43.87"
