"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar empresa","Agregar empresa pagadora","ERROR","2023-02-11T10:13:31.402489-05:00[America/Bogota]","0.0","14.01"
"Agregar proveedor","Agregar proveedor","ERROR","2023-11-23T11:23:35.7546329-05:00[America/Bogota]","0.0","16.62"
